,country_code,level_1,year,gpc_growth,year_gap,annual_growth
9732,MKD,11414,1979,0.05723928531096334,1,0.05723928531096334
9733,MKD,11577,1980,0.0008245156437975965,1,0.0008245156437975965
9734,MKD,11744,1981,0.0037475479168271875,1,0.0037475479168271875
9735,MKD,11911,1982,0.004006196744837709,1,0.004006196744837709
9736,MKD,12078,1983,-0.02530615833581784,1,-0.02530615833581784
9737,MKD,12245,1984,0.028390900393608476,1,0.028390900393608476
9738,MKD,12412,1985,-0.011296467034307867,1,-0.011296467034307867
9739,MKD,12580,1986,0.06422353795793256,1,0.06422353795793256
9740,MKD,12748,1987,-0.015847917741549367,1,-0.015847917741549367
9741,MKD,12916,1988,-0.03445554829361086,1,-0.03445554829361086
9742,MKD,13084,1989,0.017020925117154917,1,0.017020925117154917
9743,MKD,13252,1990,-0.1067629711720901,1,-0.1067629711720901
9744,MKD,13420,1991,-0.06734934663871073,1,-0.06734934663871073
9745,MKD,13588,1992,-0.07985771579943801,1,-0.07985771579943801
9746,MKD,13757,1993,-0.09267995357530445,1,-0.09267995357530445
9747,MKD,13926,1994,-0.02725241876373019,1,-0.02725241876373019
9748,MKD,14095,1995,-0.02087213782585451,1,-0.02087213782585451
9749,MKD,14264,1996,0.0032901260185482784,1,0.0032901260185482784
9750,MKD,14433,1997,0.006939471383304863,1,0.006939471383304863
9751,MKD,14602,1998,0.027286120108319878,1,0.027286120108319878
9752,MKD,14771,1999,0.03762746116557203,1,0.03762746116557203
9753,MKD,14940,2000,0.03979432064283195,1,0.03979432064283195
9754,MKD,15109,2001,-0.035889019120945775,1,-0.035889019120945775
9755,MKD,15278,2002,0.011625221744223424,1,0.011625221744223424
9756,MKD,15447,2003,0.019670420240853304,1,0.019670420240853304
9757,MKD,15616,2004,0.04331681399672149,1,0.04331681399672149
9758,MKD,15785,2005,0.043576506207456234,1,0.043576506207456234
9759,MKD,15954,2006,0.0475525402490824,1,0.0475525402490824
9760,MKD,16123,2007,0.060078123943283046,1,0.060078123943283046
